Timestamp,AccX,AccY,AccZ,AsX,AsY,AsZ,HX,HY,HZ,AngX,AngY,AngZ
2025-09-03 22:29:33.111429,-0.051,0.016,0.999,-0.549,0.0,-0.183,16.978,5.811,-46.241,0.885,2.903,-175.133
2025-09-03 22:29:33.132018,-0.051,0.016,1.0,-0.854,-0.122,-0.183,16.978,5.798,-46.241,0.87,2.901,-175.137
2025-09-03 22:29:33.154983,-0.051,0.016,1.0,0.61,-0.122,-0.183,16.991,5.863,-46.254,0.866,2.897,-175.141
2025-09-03 22:29:33.175923,-0.051,0.016,1.0,1.16,0.183,-0.061,16.978,5.85,-46.28,0.89,2.898,-175.145
2025-09-03 22:29:33.196223,-0.051,0.016,1.0,-0.183,0.549,-0.122,16.991,5.863,-46.267,0.903,2.907,-175.147
2025-09-03 22:29:33.216316,-0.051,0.016,1.0,-1.038,0.183,-0.183,16.991,5.863,-46.241,0.887,2.916,-175.151
2025-09-03 22:29:33.236315,-0.051,0.016,1.0,0.0,-0.427,-0.183,16.978,5.863,-46.254,0.876,2.912,-175.155
2025-09-03 22:29:33.256672,-0.051,0.016,1.0,0.732,-0.488,-0.122,16.978,5.824,-46.28,0.888,2.902,-175.158
2025-09-03 22:29:33.276798,-0.05,0.015,0.998,0.0,-0.061,-0.122,16.991,5.811,-46.267,0.897,2.896,-175.161
2025-09-03 22:29:33.297034,-0.05,0.015,0.998,-0.61,0.122,-0.122,16.978,5.876,-46.254,0.889,2.898,-175.165
2025-09-03 22:29:33.317060,-0.05,0.015,0.998,0.0,0.0,-0.183,16.965,5.876,-46.267,0.88,2.9,-175.168
2025-09-03 22:29:33.337434,-0.05,0.015,0.998,0.671,0.0,-0.122,16.978,5.876,-46.293,0.889,2.9,-175.172
2025-09-03 22:29:33.357736,-0.05,0.015,0.998,0.183,0.183,-0.122,16.965,5.863,-46.254,0.899,2.902,-175.175
2025-09-03 22:29:33.377842,-0.05,0.015,0.998,-0.427,0.122,-0.122,16.965,5.85,-46.241,0.896,2.906,-175.178
2025-09-03 22:29:33.398137,-0.051,0.016,1.0,-0.183,-0.122,-0.183,16.991,5.837,-46.267,0.887,2.905,-175.182
2025-09-03 22:29:33.418390,-0.051,0.016,1.0,0.488,-0.183,-0.122,17.004,5.85,-46.267,0.891,2.9,-175.186
2025-09-03 22:29:33.438735,-0.051,0.016,1.0,0.305,0.061,-0.122,16.991,5.837,-46.254,0.901,2.899,-175.189
2025-09-03 22:29:33.459239,-0.051,0.016,1.0,-0.183,0.183,-0.122,16.978,5.915,-46.28,0.901,2.903,-175.192
2025-09-03 22:29:33.479310,-0.051,0.016,1.0,-0.122,0.0,-0.183,16.991,5.902,-46.267,0.896,2.904,-175.196
2025-09-03 22:29:33.499877,-0.051,0.016,1.0,0.305,-0.061,-0.122,16.978,5.876,-46.28,0.899,2.902,-175.2
2025-09-03 22:29:33.519946,-0.051,0.015,0.999,0.244,0.061,-0.122,16.965,5.863,-46.267,0.906,2.902,-175.203
2025-09-03 22:29:33.540196,-0.051,0.015,0.999,-0.122,0.122,-0.122,16.978,5.85,-46.267,0.906,2.905,-175.206
2025-09-03 22:29:33.560242,-0.051,0.015,0.999,-0.916,-0.061,-0.183,16.991,5.863,-46.254,0.896,2.905,-175.21
2025-09-03 22:29:33.580521,-0.051,0.015,0.999,-0.61,-0.244,-0.183,17.004,5.902,-46.254,0.875,2.902,-175.214
2025-09-03 22:29:33.600750,-0.051,0.015,0.999,0.549,-0.244,-0.122,16.926,5.928,-46.28,0.877,2.895,-175.218
2025-09-03 22:29:33.620858,-0.051,0.015,0.999,1.099,0.122,-0.061,16.991,5.876,-46.293,0.895,2.894,-175.221
2025-09-03 22:29:33.641336,-0.05,0.015,1.0,-0.488,0.488,-0.122,16.952,5.876,-46.267,0.903,2.902,-175.223
2025-09-03 22:29:33.661693,-0.05,0.015,1.0,-1.221,0.244,-0.183,16.965,5.915,-46.254,0.881,2.91,-175.228
2025-09-03 22:29:33.681716,-0.05,0.015,1.0,-0.183,-0.244,-0.183,16.965,5.876,-46.267,0.866,2.909,-175.232
2025-09-03 22:29:33.701951,-0.051,0.015,1.0,0.793,-0.305,-0.122,16.965,5.876,-46.306,0.876,2.901,-175.235
2025-09-03 22:29:33.722474,-0.051,0.015,1.0,0.244,0.0,-0.122,16.991,5.876,-46.267,0.888,2.897,-175.238
2025-09-03 22:29:33.742872,-0.051,0.015,1.0,-0.549,0.183,-0.122,16.991,5.915,-46.267,0.884,2.9,-175.241
2025-09-03 22:29:33.763120,-0.051,0.015,1.0,-0.366,0.0,-0.183,16.991,5.928,-46.254,0.873,2.903,-175.245
2025-09-03 22:29:33.783177,-0.051,0.015,0.999,0.366,-0.061,-0.122,16.991,5.889,-46.254,0.874,2.901,-175.249
2025-09-03 22:29:33.803364,-0.051,0.015,0.999,0.366,0.061,-0.122,16.978,5.85,-46.254,0.882,2.901,-175.252
2025-09-03 22:29:33.823762,-0.051,0.015,0.999,-0.061,0.122,-0.122,16.991,5.85,-46.241,0.885,2.904,-175.255
2025-09-03 22:29:33.844011,-0.051,0.015,0.999,-0.305,-0.061,-0.183,16.965,5.863,-46.254,0.878,2.905,-175.259
2025-09-03 22:29:33.864328,-0.051,0.015,0.999,0.061,-0.122,-0.122,16.978,5.889,-46.254,0.875,2.902,-175.263
2025-09-03 22:29:33.884742,-0.051,0.015,0.999,0.305,0.0,-0.122,16.991,5.902,-46.254,0.879,2.901,-175.266
2025-09-03 22:29:33.904847,-0.05,0.015,0.999,0.122,0.122,-0.122,16.991,5.902,-46.267,0.884,2.903,-175.269
2025-09-03 22:29:33.925037,-0.05,0.015,0.999,-0.122,0.0,-0.183,16.978,5.85,-46.241,0.882,2.905,-175.272
2025-09-03 22:29:33.945704,-0.051,0.015,0.999,-0.061,-0.122,-0.183,16.965,5.85,-46.241,0.879,2.902,-175.276
2025-09-03 22:29:33.965684,-0.05,0.015,0.999,0.122,0.0,-0.122,16.965,5.85,-46.254,0.879,2.9,-175.28
2025-09-03 22:29:33.985925,-0.051,0.015,0.999,0.122,0.122,-0.122,16.991,5.85,-46.254,0.882,2.902,-175.283
2025-09-03 22:29:34.006048,-0.05,0.015,0.999,0.0,0.0,-0.122,16.978,5.889,-46.241,0.883,2.904,-175.286
2025-09-03 22:29:34.026297,-0.051,0.015,1.0,-0.061,-0.061,-0.183,16.965,5.889,-46.254,0.881,2.902,-175.29
2025-09-03 22:29:34.046623,-0.051,0.015,1.0,0.0,0.0,-0.122,16.991,5.902,-46.254,0.879,2.901,-175.294
2025-09-03 22:29:34.066670,-0.051,0.015,1.0,0.183,0.061,-0.122,17.017,5.876,-46.241,0.881,2.902,-175.297
2025-09-03 22:29:34.086918,-0.05,0.015,1.0,0.122,0.0,-0.122,16.978,5.85,-46.241,0.885,2.903,-175.3
2025-09-03 22:29:34.107040,-0.051,0.015,1.0,0.0,0.0,-0.122,17.017,5.863,-46.241,0.886,2.902,-175.304
2025-09-03 22:29:34.127292,-0.05,0.015,1.0,-0.061,0.0,-0.122,17.004,5.837,-46.254,0.883,2.902,-175.307
2025-09-03 22:29:34.147667,-0.05,0.014,0.999,0.061,0.0,-0.122,17.03,5.863,-46.254,0.882,2.902,-175.311
2025-09-03 22:29:34.167914,-0.05,0.014,0.999,0.183,0.0,-0.122,17.03,5.824,-46.267,0.885,2.902,-175.314
2025-09-03 22:29:34.187909,-0.05,0.014,0.999,0.061,0.0,0.0,17.017,5.889,-46.254,0.887,2.903,-175.317
2025-09-03 22:29:34.208283,-0.05,0.014,0.999,-0.061,0.0,-0.122,17.004,5.863,-46.241,0.885,2.903,-175.321
2025-09-03 22:29:34.228658,-0.05,0.014,0.999,0.0,0.0,-0.122,17.017,5.85,-46.241,0.883,2.902,-175.324
2025-09-03 22:29:34.248654,-0.05,0.014,0.999,0.183,0.0,-0.122,17.082,5.85,-46.254,0.886,2.901,-175.327
2025-09-03 22:29:34.268903,-0.05,0.014,0.999,0.0,0.061,-0.122,17.03,5.837,-46.241,0.888,2.903,-175.33
2025-09-03 22:29:34.289158,-0.05,0.015,1.0,-0.122,0.0,-0.122,17.017,5.876,-46.254,0.885,2.904,-175.334
2025-09-03 22:29:34.309276,-0.05,0.015,1.0,0.0,-0.061,-0.183,16.991,5.902,-46.254,0.882,2.902,-175.337
2025-09-03 22:29:34.329648,-0.05,0.015,1.0,0.183,0.0,-0.122,16.978,5.902,-46.254,0.884,2.901,-175.341
2025-09-03 22:29:34.349771,-0.05,0.015,1.0,0.122,0.122,-0.122,16.991,5.798,-46.241,0.887,2.903,-175.344
2025-09-03 22:29:34.369896,-0.05,0.015,1.0,-0.061,0.0,-0.122,17.017,5.837,-46.215,0.886,2.905,-175.347
2025-09-03 22:29:34.390144,-0.05,0.015,1.0,0.0,-0.061,-0.183,17.017,5.837,-46.228,0.884,2.904,-175.351
2025-09-03 22:29:34.410394,-0.05,0.014,0.999,0.122,0.0,-0.122,17.03,5.863,-46.254,0.884,2.902,-175.354
2025-09-03 22:29:34.430765,-0.05,0.014,0.999,0.183,0.061,-0.122,17.043,5.889,-46.254,0.887,2.903,-175.357
2025-09-03 22:29:34.450887,-0.05,0.014,0.999,0.0,0.0,-0.122,17.017,5.889,-46.241,0.889,2.905,-175.36
2025-09-03 22:29:34.471091,-0.05,0.014,0.999,0.0,-0.061,-0.183,16.965,5.902,-46.254,0.887,2.904,-175.363
2025-09-03 22:29:34.491258,-0.05,0.014,0.999,0.061,0.0,-0.122,16.991,5.889,-46.254,0.886,2.902,-175.367
2025-09-03 22:29:34.511636,-0.05,0.014,0.999,0.183,0.061,-0.122,17.017,5.863,-46.254,0.888,2.902,-175.37
2025-09-03 22:29:34.531760,-0.05,0.014,0.999,0.122,0.061,-0.122,17.017,5.785,-46.28,0.891,2.904,-175.373
2025-09-03 22:29:34.552005,-0.05,0.014,0.999,0.0,0.0,0.0,17.004,5.863,-46.215,0.891,2.904,-175.377
2025-09-03 22:29:34.572254,-0.05,0.014,0.999,0.0,0.0,-0.122,16.991,5.876,-46.228,0.89,2.903,-175.381
2025-09-03 22:29:34.592628,-0.05,0.014,0.999,0.122,0.0,-0.122,17.004,5.889,-46.267,0.891,2.902,-175.384
2025-09-03 22:29:34.612753,-0.05,0.014,0.999,0.061,0.061,-0.122,17.004,5.902,-46.267,0.893,2.904,-175.388
2025-09-03 22:29:34.632753,-0.05,0.014,0.999,0.0,0.0,-0.122,16.991,5.863,-46.254,0.893,2.904,-175.391
2025-09-03 22:29:34.653124,-0.05,0.015,1.0,0.0,-0.061,-0.183,16.952,5.85,-46.254,0.891,2.903,-175.395
2025-09-03 22:29:34.673124,-0.05,0.015,1.0,0.061,0.0,-0.122,17.004,5.85,-46.254,0.892,2.902,-175.398
2025-09-03 22:29:34.693507,-0.05,0.015,1.0,0.061,0.061,-0.122,16.991,5.863,-46.241,0.893,2.904,-175.402
2025-09-03 22:29:34.713618,-0.05,0.015,1.0,0.0,0.0,-0.122,17.004,5.85,-46.241,0.893,2.905,-175.405
2025-09-03 22:29:34.733867,-0.05,0.015,1.0,0.0,-0.061,-0.122,16.991,5.876,-46.228,0.892,2.904,-175.408
2025-09-03 22:29:34.754114,-0.05,0.015,1.0,0.0,0.0,-0.122,16.991,5.902,-46.241,0.891,2.903,-175.412
2025-09-03 22:29:34.774239,-0.05,0.015,1.0,0.0,0.0,-0.122,16.991,5.876,-46.254,0.891,2.903,-175.415
2025-09-03 22:29:34.794565,-0.05,0.014,0.999,0.0,0.0,-0.122,17.03,5.85,-46.254,0.891,2.904,-175.418
2025-09-03 22:29:34.814735,-0.05,0.014,0.999,0.0,0.0,-0.122,17.017,5.824,-46.241,0.891,2.903,-175.422
2025-09-03 22:29:34.834859,-0.05,0.014,0.999,0.0,0.0,-0.122,16.978,5.889,-46.241,0.891,2.903,-175.425
2025-09-03 22:29:34.855107,-0.05,0.014,0.999,0.061,0.0,-0.122,17.017,5.928,-46.241,0.891,2.903,-175.429
2025-09-03 22:29:34.875356,-0.05,0.014,0.999,0.122,0.0,-0.122,17.004,5.915,-46.254,0.892,2.904,-175.432
2025-09-03 22:29:34.895729,-0.05,0.014,0.999,0.122,0.0,-0.122,16.965,5.876,-46.254,0.894,2.904,-175.435
2025-09-03 22:29:34.915853,-0.05,0.014,0.999,0.061,0.0,-0.122,16.991,5.863,-46.215,0.895,2.904,-175.439
2025-09-03 22:29:34.936102,-0.05,0.014,0.999,0.0,0.0,-0.122,17.017,5.85,-46.228,0.895,2.904,-175.442
2025-09-03 22:29:34.956224,-0.051,0.014,0.999,0.0,0.0,-0.122,17.017,5.863,-46.241,0.895,2.904,-175.445
2025-09-03 22:29:34.976599,-0.05,0.014,0.999,0.0,0.0,-0.122,17.004,5.889,-46.228,0.894,2.903,-175.449
2025-09-03 22:29:34.996721,-0.05,0.014,0.999,0.0,0.0,-0.122,17.004,5.863,-46.228,0.893,2.903,-175.452
2025-09-03 22:29:35.016969,-0.05,0.014,0.999,0.0,0.0,-0.122,16.965,5.915,-46.241,0.892,2.903,-175.456
2025-09-03 22:29:35.037091,-0.05,0.014,1.0,0.0,0.0,-0.122,16.991,5.915,-46.254,0.891,2.903,-175.459
2025-09-03 22:29:35.057590,-0.05,0.014,1.0,0.0,0.0,-0.122,16.978,5.889,-46.241,0.889,2.903,-175.463
2025-09-03 22:29:35.077590,-0.05,0.014,1.0,0.061,0.0,-0.122,16.991,5.798,-46.228,0.889,2.903,-175.466
2025-09-03 22:29:35.097715,-0.05,0.014,1.0,0.122,0.0,-0.122,16.978,5.85,-46.228,0.89,2.903,-175.469
2025-09-03 22:29:35.117839,-0.05,0.014,1.0,0.0,0.0,-0.122,16.991,5.889,-46.254,0.891,2.903,-175.473
2025-09-03 22:29:35.138041,-0.05,0.014,1.0,0.0,0.0,-0.122,16.991,5.928,-46.254,0.89,2.903,-175.476
