EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temperature,FrameType
3415.075314251,-0.153,0.045,0.988,0.183,11.658,0.977,0.0,N/A
3415.095003281,-0.153,0.045,0.988,-1.038,-16.968,1.953,0.0,N/A
3415.104421385,-0.153,0.045,0.988,-1.038,-24.597,1.404,0.0,N/A
3415.113114705,-0.153,0.045,0.988,-1.038,-31.494,1.16,0.0,N/A
3415.123040011,-0.153,0.045,0.988,-1.221,-38.757,1.404,0.0,N/A
3415.134006264,-0.153,0.045,0.988,-1.709,-46.875,1.953,0.0,N/A
3415.144034527,-0.153,0.045,0.988,-2.014,-52.979,2.319,0.0,N/A
3415.154019625,-0.153,0.045,0.988,-2.258,-57.739,2.563,0.0,N/A
3415.163989264,-0.153,0.045,0.988,-2.441,-61.768,2.808,0.0,N/A
3415.17507189,-0.249,0.046,0.975,-2.625,-64.941,2.991,0.0,N/A
3415.185029571,-0.249,0.046,0.975,-2.747,-66.711,3.113,0.0,N/A
3415.195030418,-0.249,0.046,0.975,-2.869,-67.261,3.113,0.0,N/A
3415.20605267,-0.249,0.046,0.975,-2.808,-66.406,3.052,0.0,N/A
3415.215974185,-0.249,0.046,0.975,-2.747,-64.148,2.93,0.0,N/A
3415.226019657,-0.249,0.046,0.975,-2.686,-60.913,2.808,0.0,N/A
3415.236021087,-0.249,0.046,0.975,-2.563,-56.396,2.563,0.0,N/A
3415.247020881,-0.249,0.046,0.975,-2.258,-50.11,2.38,0.0,N/A
3415.256970395,-0.249,0.046,0.975,-1.892,-43.274,1.892,0.0,N/A
3415.266985826,-0.249,0.046,0.975,-1.526,-35.461,1.526,0.0,N/A
3415.276988423,-0.249,0.046,0.975,-1.16,-26.794,1.099,0.0,N/A
3415.288357463,-0.249,0.046,0.975,-0.671,-16.357,0.61,0.0,N/A
3415.306033724,-0.145,0.045,0.988,0.061,2.014,-0.061,0.0,N/A
3415.316022613,-0.145,0.045,0.988,0.488,12.024,-0.671,0.0,N/A
3415.325941211,-0.145,0.045,0.988,0.916,21.423,-1.16,0.0,N/A
3415.336017307,-0.145,0.045,0.988,1.343,29.846,-1.526,0.0,N/A
3415.346065695,-0.145,0.045,0.988,1.709,37.292,-1.831,0.0,N/A
3415.356974199,-0.145,0.045,0.988,2.075,44.373,-2.258,0.0,N/A
3415.366987296,-0.145,0.045,0.988,2.319,49.316,-2.563,0.0,N/A
3415.376969768,-0.145,0.045,0.988,2.38,52.612,-2.747,0.0,N/A
3415.387926688,-0.145,0.045,0.988,2.441,54.138,-2.869,0.0,N/A
3415.398114199,-0.145,0.045,0.988,2.38,53.589,-2.686,0.0,N/A
3415.408025797,-0.145,0.045,0.988,2.258,51.208,-2.686,0.0,N/A
3415.418202809,-0.145,0.045,0.988,2.075,47.485,-2.502,0.0,N/A
3415.428120824,-0.145,0.045,0.988,1.831,42.603,-2.258,0.0,N/A
3415.439133159,-0.071,0.043,0.989,1.526,35.889,-1.709,0.0,N/A
3415.449191464,-0.071,0.043,0.989,1.221,28.809,-1.526,0.0,N/A
3415.459056104,-0.071,0.043,0.989,0.854,21.179,-1.16,0.0,N/A
3415.469124034,-0.071,0.043,0.989,0.549,13.184,-0.732,0.0,N/A
3415.480123828,-0.071,0.043,0.989,0.183,5.31,-0.305,0.0,N/A
3415.490128759,-0.071,0.043,0.989,-0.061,-2.869,0.0,0.0,N/A
3415.500081773,-0.071,0.043,0.989,-0.366,-9.827,0.366,0.0,N/A
3415.510122869,-0.071,0.043,0.989,-0.61,-15.93,0.671,0.0,N/A
3415.520143258,-0.071,0.043,0.989,-0.854,-20.996,0.916,0.0,N/A
3415.531175135,-0.071,0.043,0.989,-1.038,-25.146,1.099,0.0,N/A
3415.541053483,-0.071,0.043,0.989,-1.16,-27.405,1.282,0.0,N/A
3415.551127538,-0.071,0.043,0.989,-1.221,-28.198,1.343,0.0,N/A
3415.562147457,-0.176,0.045,0.991,-1.16,-27.405,1.282,0.0,N/A
3415.572151221,-0.176,0.045,0.991,-1.038,-24.719,1.221,0.0,N/A
3415.582141276,-0.176,0.045,0.991,-0.916,-20.691,1.038,0.0,N/A
3415.592140956,-0.176,0.045,0.991,-0.671,-15.32,0.732,0.0,N/A
3415.602054596,-0.176,0.045,0.991,-0.366,-8.911,0.427,0.0,N/A
3415.613055265,-0.176,0.045,0.991,0.0,-1.038,0.0,0.0,N/A
3415.623072446,-0.176,0.045,0.991,0.244,6.042,-0.305,0.0,N/A
3415.632971502,-0.176,0.045,0.991,0.549,12.634,-0.671,0.0,N/A
3415.642983432,-0.176,0.045,0.991,0.793,18.25,-0.916,0.0,N/A
3415.654049434,-0.176,0.045,0.991,0.977,22.888,-0.916,0.0,N/A
3415.664054364,-0.176,0.045,0.991,1.099,25.391,-1.221,0.0,N/A
3415.673959254,-0.176,0.045,0.991,1.099,26.062,-1.221,0.0,N/A
3415.685380794,-0.144,0.045,0.988,1.038,24.78,-1.221,0.0,N/A
3415.698196193,-0.144,0.045,0.988,0.977,21.973,-1.221,0.0,N/A
3415.705041825,-0.144,0.045,0.988,0.793,17.639,-1.099,0.0,N/A
3415.714967423,-0.144,0.045,0.988,0.549,11.658,-0.854,0.0,N/A
3415.726053549,-0.144,0.045,0.988,0.244,3.723,-0.366,0.0,N/A
3415.736053813,-0.144,0.045,0.988,-0.061,-4.211,-0.122,0.0,N/A
3415.746051452,-0.144,0.045,0.988,-0.427,-12.695,0.244,0.0,N/A
3415.756006799,-0.144,0.045,0.988,-0.793,-21.301,0.671,0.0,N/A
3415.767099926,-0.144,0.045,0.988,-1.16,-29.602,1.16,0.0,N/A
3415.777075106,-0.144,0.045,0.988,-1.526,-38.025,1.648,0.0,N/A
3415.787053204,-0.144,0.045,0.988,-1.831,-44.556,1.953,0.0,N/A
3415.797022551,-0.144,0.045,0.988,-2.075,-49.988,2.258,0.0,N/A
3415.808047137,-0.144,0.045,0.988,-2.319,-54.26,2.502,0.0,N/A
3415.818051484,-0.171,0.045,0.99,-2.563,-57.373,2.747,0.0,N/A
3415.828056997,-0.171,0.045,0.99,-2.686,-58.411,2.808,0.0,N/A
3415.838047344,-0.171,0.045,0.99,-2.625,-57.739,2.747,0.0,N/A
3415.848044108,-0.171,0.045,0.99,-2.502,-55.359,2.625,0.0,N/A
3415.859054111,-0.171,0.045,0.99,-2.197,-50.598,2.441,0.0,N/A
3415.869138373,-0.171,0.045,0.99,-1.953,-44.495,2.197,0.0,N/A
3415.879229344,-0.171,0.045,0.99,-1.587,-36.499,1.831,0.0,N/A
3415.890148348,-0.171,0.045,0.99,-1.16,-25.94,1.465,0.0,N/A
3415.900243986,-0.171,0.045,0.99,-0.671,-15.32,0.732,0.0,N/A
3415.910124084,-0.171,0.045,0.99,-0.122,-3.906,0.122,0.0,N/A
3415.921030546,-0.171,0.045,0.99,0.305,7.812,-0.427,0.0,N/A
3415.930982102,-0.171,0.045,0.99,0.916,20.508,-1.099,0.0,N/A
3415.941026698,-0.099,0.044,0.992,1.343,31.372,-1.709,0.0,N/A
3415.95209445,-0.099,0.044,0.992,1.77,41.26,-2.197,0.0,N/A
3415.962052714,-0.099,0.044,0.992,2.258,50.415,-2.502,0.0,N/A
3415.97205852,-0.099,0.044,0.992,2.625,56.824,-2.991,0.0,N/A
3415.982048283,-0.099,0.044,0.992,2.869,61.401,-3.296,0.0,N/A
3415.992513459,-0.099,0.044,0.992,2.991,63.599,-3.479,0.0,N/A
3416.00317084,-0.099,0.044,0.992,2.869,63.11,-3.479,0.0,N/A
3416.013080105,-0.099,0.044,0.992,2.686,59.326,-3.235,0.0,N/A
3416.023003952,-0.099,0.044,0.992,2.38,53.284,-2.93,0.0,N/A
3416.033075382,-0.099,0.044,0.992,2.014,44.861,-2.502,0.0,N/A
3416.04404601,-0.099,0.044,0.992,1.526,34.424,-1.953,0.0,N/A
3416.054050649,-0.099,0.044,0.992,0.916,21.118,-1.16,0.0,N/A
3416.063968372,-0.077,0.043,0.99,0.366,8.484,-0.488,0.0,N/A
3416.074009176,-0.077,0.043,0.99,-0.122,-3.845,0.0,0.0,N/A
3416.085053887,-0.077,0.043,0.99,-0.61,-15.442,0.61,0.0,N/A
3416.095080984,-0.077,0.043,0.99,-1.099,-26.978,1.16,0.0,N/A
3416.105256829,-0.077,0.043,0.99,-1.526,-36.133,1.648,0.0,N/A
3416.115109219,-0.077,0.043,0.99,-1.831,-43.579,2.075,0.0,N/A
3416.125048525,-0.077,0.043,0.99,-2.075,-49.133,2.319,0.0,N/A
3416.136113944,-0.077,0.043,0.99,-2.319,-52.979,2.563,0.0,N/A
3416.146106916,-0.077,0.043,0.99,-2.441,-53.955,2.686,0.0,N/A
3416.156065763,-0.077,0.043,0.99,-2.441,-52.551,2.563,0.0,N/A
3416.167109307,-0.077,0.043,0.99,-2.258,-48.889,2.38,0.0,N/A
3416.177125612,-0.077,0.043,0.99,-1.892,-42.297,1.953,0.0,N/A
3416.187110709,-0.077,0.043,0.99,-1.526,-34.424,1.526,0.0,N/A
3416.19706489,-0.164,0.045,0.995,-1.099,-25.33,1.099,0.0,N/A
3416.208106101,-0.164,0.045,0.995,-0.61,-15.32,0.671,0.0,N/A
3416.218108698,-0.164,0.045,0.995,-0.122,-3.296,0.061,0.0,N/A
3416.228125586,-0.164,0.045,0.995,0.305,7.629,-0.488,0.0,N/A
3416.238160849,-0.164,0.045,0.995,0.793,18.066,-0.977,0.0,N/A
3416.249133227,-0.164,0.045,0.995,1.221,27.222,-1.465,0.0,N/A
3416.259109575,-0.164,0.045,0.995,1.648,35.278,-1.892,0.0,N/A
3416.269163504,-0.164,0.045,0.995,1.953,40.771,-2.197,0.0,N/A
3416.279141602,-0.164,0.045,0.995,2.136,44.006,-2.441,0.0,N/A
3416.290062355,-0.164,0.045,0.995,2.136,44.8,-2.563,0.0,N/A
