MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1874275864669,1874273864669,1874.275864669,1874.273864669,-0.224,0.046,0.976,0.0,0.0,-0.122
1874293488420,1874291488420,1874.29348842,1874.29148842,-0.224,0.046,0.976,0.0,0.0,-0.122
1874301495451,1874299495451,1874.301495451,1874.299495451,-0.224,0.046,0.976,0.0,0.0,-0.122
1874315601451,1874313601451,1874.315601451,1874.313601451,-0.224,0.046,0.976,0.0,0.0,-0.122
1874331192893,1874329192893,1874.331192893,1874.329192893,-0.224,0.046,0.976,0.0,0.0,-0.122
1874341182067,1874339182067,1874.341182067,1874.339182067,-0.224,0.046,0.976,0.0,0.0,-0.122
1874351129241,1874349129241,1874.351129241,1874.349129241,-0.224,0.046,0.976,0.0,0.0,0.0
1874362124070,1874360124070,1874.36212407,1874.36012407,-0.224,0.046,0.976,0.0,0.0,-0.122
1874372141536,1874370141536,1874.372141536,1874.370141536,-0.224,0.046,0.976,0.0,0.0,-0.122
1874382118168,1874380118168,1874.382118168,1874.380118168,-0.224,0.046,0.976,0.0,0.0,-0.122
1874392118717,1874390118717,1874.392118717,1874.390118717,-0.224,0.046,0.976,0.0,0.0,-0.122
1874403185587,1874401185587,1874.403185587,1874.401185587,-0.224,0.046,0.976,0.0,0.0,-0.122
1874413174470,1874411174470,1874.41317447,1874.41117447,-0.224,0.046,0.976,0.0,0.0,-0.122
1874423105894,1874421105894,1874.423105894,1874.421105894,-0.224,0.046,0.976,0.0,0.0,-0.122
1874433211150,1874431211150,1874.43321115,1874.43121115,-0.224,0.046,0.976,0.0,0.0,-0.122
1874444476643,1874442476643,1874.444476643,1874.442476643,-0.224,0.046,0.976,0.0,0.0,-0.122
1874454202445,1874452202445,1874.454202445,1874.452202445,-0.224,0.046,0.976,0.0,0.0,-0.122
1874464182578,1874462182578,1874.464182578,1874.462182578,-0.224,0.046,0.976,0.0,0.0,-0.122
1874474135586,1874472135586,1874.474135586,1874.472135586,-0.224,0.046,0.976,0.0,0.0,-0.122
1874485170956,1874483170956,1874.485170956,1874.483170956,-0.224,0.046,0.976,0.0,0.0,-0.122
1874495179380,1874493179380,1874.49517938,1874.49317938,-0.224,0.046,0.976,0.0,0.0,-0.122
1874505178470,1874503178470,1874.50517847,1874.50317847,-0.224,0.046,0.976,0.0,0.0,-0.122
1874515160936,1874513160936,1874.515160936,1874.513160936,-0.224,0.046,0.976,0.0,0.0,-0.122
1874525150693,1874523150693,1874.525150693,1874.523150693,-0.224,0.046,0.976,0.0,0.0,-0.122
1874536151064,1874534151064,1874.536151064,1874.534151064,-0.224,0.046,0.976,0.0,0.0,-0.122
1874546147530,1874544147530,1874.54614753,1874.54414753,-0.224,0.046,0.976,0.0,0.0,-0.122
1874556151870,1874554151870,1874.55615187,1874.55415187,-0.224,0.046,0.976,0.0,0.0,-0.122
1874566174877,1874564174877,1874.566174877,1874.564174877,-0.224,0.046,0.976,0.0,0.0,-0.122
1874577151040,1874575151040,1874.57715104,1874.57515104,-0.224,0.046,0.976,0.0,0.0,-0.122
1874587159464,1874585159464,1874.587159464,1874.585159464,-0.224,0.046,0.976,0.0,0.0,-0.122
1874597151554,1874595151554,1874.597151554,1874.595151554,-0.224,0.046,0.976,0.0,0.0,-0.122
1874607170770,1874605170770,1874.60717077,1874.60517077,-0.224,0.046,0.976,0.0,0.0,0.0
