Timestamp,t_s_volt,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15
1970-01-01 08:20:28.438795,1228.438795287,1.651V,1.650A,1.654V,1.641A,1.646V,1.643A,1.642V,1.645A,1.641V,1.647A,1.649V,1.644A,1.654V,1.647A,1.648V,1.648A
1970-01-01 08:20:28.650959,1228.650959128,1.648V,1.648A,1.645V,1.647A,1.648V,1.651A,1.651V,1.650A,1.651V,1.651A,1.652V,1.650A,1.645V,1.643A,1.643V,1.647A
1970-01-01 08:20:28.862935,1228.862934679,1.646V,1.645A,1.645V,1.649A,1.649V,1.650A,1.650V,1.647A,1.644V,1.647A,1.641V,1.648A,1.648V,1.644A,1.653V,1.647A
1970-01-01 08:20:29.073103,1229.073103334,1.652V,1.652A,1.650V,1.650A,1.649V,1.645A,1.647V,1.646A,1.649V,1.650A,1.650V,1.657A,1.654V,1.647A,1.656V,1.650A
1970-01-01 08:20:29.344777,1229.34477672,1.647V,1.652A,1.645V,1.648A,1.647V,1.653A,1.654V,1.649A,1.653V,1.653A,1.653V,1.651A,1.649V,1.650A,1.647V,1.650A
1970-01-01 08:20:29.556414,1229.556413525,1.645V,1.646A,1.645V,1.649A,1.648V,1.647A,1.648V,1.647A,1.643V,1.647A,1.642V,1.634A,1.643V,1.645A,1.643V,1.646A
1970-01-01 08:20:29.767802,1229.767802499,1.650V,1.654A,1.646V,1.645A,1.647V,1.645A,1.644V,1.645A,1.641V,1.646A,1.649V,1.643A,1.651V,1.646A,1.653V,1.646A
1970-01-01 08:20:29.980729,1229.980729124,1.649V,1.650A,1.643V,1.649A,1.647V,1.650A,1.652V,1.650A,1.655V,1.655A,1.653V,1.648A,1.647V,1.652A,1.644V,1.648A
1970-01-01 08:20:30.251723,1230.251723266,1.645V,1.646A,1.643V,1.649A,1.645V,1.650A,1.651V,1.649A,1.643V,1.650A,1.645V,1.645A,1.644V,1.643A,1.650V,1.650A
1970-01-01 08:20:30.463848,1230.463848191,1.653V,1.650A,1.656V,1.651A,1.649V,1.651A,1.650V,1.652A,1.643V,1.650A,1.656V,1.652A,1.650V,1.654A,1.652V,1.650A
1970-01-01 08:20:30.672278,1230.672278282,1.645V,1.650A,1.646V,1.650A,1.645V,1.650A,1.650V,1.654A,1.653V,1.654A,1.650V,1.646A,1.652V,1.650A,1.645V,1.652A
1970-01-01 08:20:30.933798,1230.933798406,1.644V,1.643A,1.648V,1.647A,1.651V,1.648A,1.650V,1.646A,1.642V,1.649A,1.644V,1.642A,1.643V,1.645A,1.645V,1.648A
1970-01-01 08:20:31.141886,1231.141885917,1.650V,1.646A,1.650V,1.648A,1.647V,1.644A,1.643V,1.647A,1.645V,1.641A,1.649V,1.653A,1.651V,1.645A,1.645V,1.652A
1970-01-01 08:20:31.353467,1231.353467015,1.648V,1.650A,1.646V,1.650A,1.648V,1.646A,1.653V,1.650A,1.654V,1.651A,1.654V,1.650A,1.654V,1.652A,1.648V,1.655A
1970-01-01 08:20:31.613115,1231.613115368,1.649V,1.649A,1.647V,1.655A,1.650V,1.655A,1.654V,1.651A,1.652V,1.650A,1.646V,1.643A,1.644V,1.646A,1.653V,1.651A
1970-01-01 08:20:31.821783,1231.821782581,1.650V,1.646A,1.643V,1.644A,1.647V,1.641A,1.641V,1.645A,1.646V,1.644A,1.646V,1.648A,1.643V,1.646A,1.648V,1.647A
1970-01-01 08:20:32.029096,1232.029095559,1.645V,1.641A,1.644V,1.645A,1.647V,1.645A,1.648V,1.648A,1.652V,1.649A,1.648V,1.645A,1.646V,1.646A,1.640V,1.647A
1970-01-01 08:20:32.293297,1232.293297278,1.646V,1.652A,1.646V,1.655A,1.652V,1.652A,1.654V,1.649A,1.650V,1.645A,1.645V,1.649A,1.647V,1.647A,1.652V,1.648A
