Timestamp,AccX,AccY,AccZ,AsX,AsY,AsZ,HX,HY,HZ,AngX,AngY,AngZ
2025-09-03 20:51:45.814127,-0.091,0.02,0.997,0.0,0.0,-0.122,18.473,5.642,-45.461,1.143,5.217,-5.217
2025-09-03 20:51:45.835156,-0.091,0.02,0.997,0.0,0.0,-0.122,18.473,5.681,-45.461,1.142,5.217,-5.221
2025-09-03 20:51:45.855333,-0.091,0.02,0.997,0.0,0.0,-0.122,18.447,5.707,-45.474,1.142,5.217,-5.224
2025-09-03 20:51:45.875572,-0.091,0.02,0.997,0.0,0.0,-0.122,18.434,5.681,-45.461,1.142,5.217,-5.227
2025-09-03 20:51:45.895825,-0.091,0.02,0.997,0.0,0.0,-0.122,18.421,5.668,-45.461,1.141,5.217,-5.23
2025-09-03 20:51:45.918176,-0.091,0.02,0.997,0.0,0.0,-0.122,18.434,5.668,-45.461,1.141,5.217,-5.234
2025-09-03 20:51:45.938269,-0.091,0.02,0.997,0.0,0.0,-0.122,18.447,5.642,-45.448,1.141,5.217,-5.238
2025-09-03 20:51:45.958985,-0.091,0.02,0.997,0.0,0.0,-0.122,18.46,5.642,-45.461,1.141,5.217,-5.241
2025-09-03 20:51:45.979006,-0.091,0.02,0.997,0.0,0.0,-0.122,18.447,5.668,-45.461,1.141,5.217,-5.244
2025-09-03 20:51:45.999453,-0.091,0.02,0.997,0.0,0.0,-0.122,18.447,5.681,-45.474,1.141,5.217,-5.248
2025-09-03 20:51:46.019801,-0.091,0.02,0.997,0.0,0.0,-0.122,18.473,5.681,-45.474,1.14,5.217,-5.251
2025-09-03 20:51:46.040130,-0.091,0.02,0.997,0.0,0.0,-0.122,18.46,5.655,-45.461,1.14,5.217,-5.255
2025-09-03 20:51:46.060324,-0.091,0.02,0.997,0.0,0.0,-0.122,18.473,5.629,-45.461,1.14,5.217,-5.258
2025-09-03 20:51:46.080674,-0.091,0.02,0.997,0.0,0.0,-0.122,18.46,5.629,-45.461,1.14,5.217,-5.261
2025-09-03 20:51:46.100965,-0.091,0.02,0.997,0.0,0.0,-0.122,18.447,5.642,-45.474,1.14,5.217,-5.265
2025-09-03 20:51:46.121211,-0.091,0.02,0.997,0.0,0.0,-0.122,18.408,5.681,-45.487,1.14,5.217,-5.268
2025-09-03 20:51:46.141693,-0.091,0.02,0.997,0.0,0.0,-0.122,18.421,5.681,-45.461,1.14,5.217,-5.271
2025-09-03 20:51:46.161738,-0.091,0.02,0.997,0.0,0.0,-0.122,18.421,5.681,-45.461,1.14,5.217,-5.275
2025-09-03 20:51:46.182025,-0.091,0.02,0.997,0.0,0.0,-0.122,18.408,5.642,-45.474,1.14,5.217,-5.278
2025-09-03 20:51:46.202513,-0.091,0.02,0.997,0.0,0.0,-0.122,18.447,5.629,-45.448,1.14,5.217,-5.282
2025-09-03 20:51:46.223738,-0.091,0.02,0.997,0.0,0.0,-0.122,18.447,5.629,-45.461,1.14,5.217,-5.285
2025-09-03 20:51:46.243711,-0.091,0.02,0.997,0.0,0.0,-0.122,18.447,5.655,-45.461,1.139,5.217,-5.288
2025-09-03 20:51:46.264068,-0.091,0.02,0.997,0.0,0.0,-0.122,18.434,5.668,-45.474,1.139,5.217,-5.292
2025-09-03 20:51:46.284148,-0.091,0.02,0.997,0.0,0.0,-0.122,18.421,5.681,-45.474,1.139,5.217,-5.295
2025-09-03 20:51:46.304640,-0.091,0.02,0.997,0.0,0.0,-0.183,18.421,5.668,-45.448,1.139,5.218,-5.299
2025-09-03 20:51:46.324639,-0.091,0.02,0.997,-0.183,0.0,-0.183,18.421,5.629,-45.487,1.136,5.217,-5.303
2025-09-03 20:51:46.344755,-0.091,0.02,0.997,0.0,0.0,-0.122,18.408,5.629,-45.487,1.132,5.216,-5.307
2025-09-03 20:51:46.365075,-0.091,0.02,0.997,0.244,0.0,-0.122,18.421,5.655,-45.461,1.136,5.216,-5.31
2025-09-03 20:51:46.385279,-0.091,0.02,0.997,0.183,0.061,-0.122,18.434,5.655,-45.474,1.142,5.218,-5.313
2025-09-03 20:51:46.405595,-0.091,0.02,0.997,-0.122,0.0,-0.122,18.434,5.681,-45.487,1.142,5.219,-5.316
2025-09-03 20:51:46.425579,-0.091,0.019,0.997,-0.122,-0.061,-0.183,18.434,5.681,-45.474,1.138,5.218,-5.32
2025-09-03 20:51:46.445824,-0.091,0.02,0.997,0.061,0.0,-0.122,18.408,5.681,-45.474,1.137,5.216,-5.323
2025-09-03 20:51:46.465994,-0.091,0.019,0.997,0.061,0.122,0.0,18.421,5.668,-45.448,1.14,5.217,-5.326
2025-09-03 20:51:46.486368,-0.091,0.02,0.997,0.0,0.0,-0.122,18.434,5.629,-45.474,1.14,5.219,-5.329
2025-09-03 20:51:46.506616,-0.091,0.019,0.997,0.0,-0.061,-0.183,18.447,5.642,-45.448,1.138,5.218,-5.333
2025-09-03 20:51:46.526865,-0.091,0.02,0.997,0.122,0.0,-0.122,18.447,5.668,-45.435,1.139,5.217,-5.337
2025-09-03 20:51:46.546986,-0.091,0.019,0.997,0.061,0.122,-0.122,18.421,5.694,-45.448,1.142,5.218,-5.34
2025-09-03 20:51:46.567237,-0.091,0.019,0.997,-0.061,0.0,-0.122,18.46,5.694,-45.474,1.142,5.22,-5.343
2025-09-03 20:51:46.587609,-0.091,0.019,0.997,0.0,-0.122,-0.183,18.434,5.681,-45.461,1.14,5.219,-5.347
2025-09-03 20:51:46.607858,-0.091,0.019,0.997,0.122,0.0,-0.122,18.447,5.616,-45.435,1.14,5.217,-5.351
2025-09-03 20:51:46.628106,-0.091,0.019,0.997,0.122,0.122,0.0,18.408,5.642,-45.435,1.143,5.219,-5.354
2025-09-03 20:51:46.648605,-0.091,0.019,0.997,0.0,0.0,-0.122,18.447,5.655,-45.435,1.144,5.221,-5.357
2025-09-03 20:51:46.668728,-0.091,0.019,0.997,0.0,-0.061,-0.183,18.46,5.668,-45.435,1.143,5.219,-5.361
2025-09-03 20:51:46.688976,-0.091,0.019,0.997,0.122,0.0,-0.122,18.421,5.655,-45.448,1.144,5.218,-5.364
2025-09-03 20:51:46.709225,-0.091,0.019,0.997,0.122,0.122,-0.122,18.434,5.668,-45.435,1.147,5.22,-5.367
2025-09-03 20:51:46.729599,-0.091,0.019,0.997,0.0,0.0,-0.122,18.421,5.642,-45.422,1.147,5.222,-5.37
2025-09-03 20:51:46.749848,-0.091,0.019,0.997,0.0,-0.122,-0.183,18.408,5.629,-45.422,1.146,5.22,-5.374
2025-09-03 20:51:46.769970,-0.091,0.019,0.997,0.244,0.0,-0.122,18.447,5.642,-45.435,1.149,5.218,-5.378
2025-09-03 20:51:46.790218,-0.091,0.019,0.997,0.244,0.122,-0.122,18.447,5.668,-45.435,1.154,5.221,-5.38
2025-09-03 20:51:46.810592,-0.091,0.019,0.997,0.0,0.0,-0.122,18.447,5.72,-45.409,1.156,5.223,-5.384
2025-09-03 20:51:46.830840,-0.091,0.019,0.997,0.0,-0.122,-0.183,18.434,5.694,-45.448,1.155,5.221,-5.387
